0 C6300005         23/06/19 1013               32                         109.00       
2 0 109.00             00 109.00        23/06/19          0000000000000000
0 C6300005         23/06/19 1012               32                         109.00       
2 0 109.00             00 109.00        23/06/19          0000000000000000
0 C6300005         11/04/19 1009               32                         40.00        
2 0 40.00              00 40.00         11/04/19          0000000000000000
0 C6300005         28/03/19 1007               32                         20.00        
2 0 23.40              00 23.40         28/03/19          0000000000000000
0 C6300005         27/03/19 1006               32                         5.00         
2 0 5.85               00 5.85          27/03/19          0000000000000000
0 C6300005         25/03/19 1005               32                         50.00        
2 0 58.50              00 58.50         25/03/19          0000000000000000
0 C6300005         18/03/19 1004               32                         1.00         
2 0 1.17               00 1.17          18/03/19          0000000000000000
0 C6300005         13/03/19 1003               32                         2.00         
2 0 2.34               00 2.34          13/03/19          0000000000000000
0 C6300005         11/03/19 1002               32                         11.00        
2 0 11.00              00 11.00         11/03/19          0000000000000000
0 C6300005         11/03/19 1001               32                         10.00        
2 0 10.00              00 10.00         11/03/19          0000000000000000
